Age,Sugar,Diet,Energy,Tiredness,Sugar_num
18-22,Medium,Western,5,5,6
18-22,Medium,Western,2,10,4
18-22,Low,Western,6,9,3
18-22,High,Western,10,2,10
18-22,Low,Western,9,4,2
18-22,High,Western,6,5,7
18-22,High,Western,5,10,8
18-22,High,Western,7,9,7
18-22,Medium,Western,3,3,5
18-22,Medium,Paleo/Keto,6,4,5
18-22,Low,Vegan/Vegetarian,5,5,3
18-22,High,Western,8,3,9
18-22,Medium,Western,4,8,4
18-22,Low,Paleo/Keto,10,1,0
18-22,Low,Western,3,7,1
18-22,Medium,Western,7,7,6
18-22,High,Western,9,9,10
18-22,Medium,Western,9,6,5
18-22,Low,Western,5,8,2
18-22,Low,Vegan/Vegetarian,3,7,1
18-22,Medium,Western,6,6,4
18-22,High,Western,7,6,7
18-22,Medium,Western,6,6,6
18-22,Low,Western,5,7,2
18-22,High,Western,6,10,8
18-22,Low,Western,5,5,0
18-22,Medium,Vegan/Vegetarian,6,5,4
18-22,Low,Western,8,4,2
18-22,Low,Vegan/Vegetarian,8,1,2
18-22,Low,Western,5,6,3
18-22,Medium,Western,6,6,5
18-22,Low,Western,7,8,1
18-22,Medium,Western,7,3,4
18-22,Low,Paleo/Keto,7,5,3
18-22,Low,Paleo/Keto,8,7,0
18-22,High,Vegan/Vegetarian,4,9,9
18-22,Low,Vegan/Vegetarian,10,2,3
18-22,Medium,Paleo/Keto,4,7,6
18-22,Low,Western,6,5,3
18-22,Medium,Vegan/Vegetarian,5,8,6
18-22,High,Western,3,8,8
18-22,Medium,Vegan/Vegetarian,6,5,5
18-22,High,Western,1,10,8
18-22,Medium,Paleo/Keto,9,2,4
18-22,Medium,Western,3,8,5
18-22,Medium,Vegan/Vegetarian,4,8,4
18-22,Low,Vegan/Vegetarian,8,4,3
18-22,High,Paleo/Keto,8,6,10
18-22,High,Western,4,9,7
18-22,Medium,Western,7,7,6
18-22,Low,Paleo/Keto,6,3,1
18-22,Medium,Vegan/Vegetarian,4,5,4
18-22,Low,Western,7,7,3
18-22,Low,Paleo/Keto,10,1,0
18-22,Medium,Western,6,7,4
18-22,Medium,Western,3,8,6
18-22,High,Western,2,9,7
18-22,Medium,Western,8,5,5
18-22,Medium,Vegan/Vegetarian,5,5,6
18-22,Medium,Western,4,7,6
18-22,Medium,Paleo/Keto,5,6,5
18-22,Low,Vegan/Vegetarian,5,8,0
18-22,High,Vegan/Vegetarian,4,10,9
18-22,Medium,Western,4,6,6
18-22,Medium,Western,5,8,5
18-22,High,Paleo/Keto,5,6,8
18-22,Medium,Western,9,2,5
18-22,High,Vegan/Vegetarian,5,4,7
18-22,Low,Western,9,3,0
18-22,Low,Western,8,2,1
18-22,Low,Paleo/Keto,4,7,2
18-22,High,Western,2,9,8
18-22,High,Western,7,4,7
18-22,Medium,Western,3,6,4
18-22,Low,Paleo/Keto,6,4,2
18-22,Medium,Western,2,4,5
18-22,High,Vegan/Vegetarian,7,6,7
18-22,Low,Paleo/Keto,9,2,1
18-22,Low,Western,7,4,3
18-22,Medium,Western,4,7,6
18-22,Low,Western,5,5,3
18-22,Medium,Vegan/Vegetarian,2,9,6
18-22,Low,Vegan/Vegetarian,8,3,3
18-22,Low,Paleo/Keto,7,4,2
18-22,Medium,Vegan/Vegetarian,5,3,5
18-22,Medium,Paleo/Keto,6,6,4
